name,handle,date,text,replys,retweets,likes
The Washington Post,@washingtonpost,2021-07-07 20:20:08+00:00,"The Washington PostTrump says “there was no reason” for officer to shoot rioter who stormed the Capitol on Jan. 6
washingtonpost.com
Trump says ‘there was no reason’ for officer to shoot rioter who stormed the Capitol on Jan. 6
The former president said that Ashli Babbitt did not pose a danger to lawmakers or others and echoed calls from the far right for the officer who shot her to be publicly named.
1.9K
673
1.3K",1.9K,673,1.3K
ROSIE,@Rosie,2021-07-07 20:25:38+00:00,"ROSIEoh happy day - Ivanka Trump Is Probably Next on the Chopping Block: Former Federal Prosecutor https://vanityfair.com/news/2021/07/ivanka-trump-next-for-manhattan-da?utm_source=twitter&utm_medium=social&utm_campaign=onsite-share&utm_brand=vanity-fair&utm_social-type=earned… via 
@VanityFair
vanityfair.com
Ivanka Trump Is Probably Next on the Chopping Block: Former Federal Prosecutor
Experts say the Manhattan District Attorney’s Office is likely looking into “consulting fees” paid to Ivanka despite her having been a full-time employee of the Trump Organization.
426
886
5.8K",426,886,5.8K
PoliticsVideoChannel,@politvidchannel,2021-07-07 20:52:17+00:00,"PoliticsVideoChannelformer Trump white house staffers are still struggling to find work
1.7K
1.1K
7.8K",1.7K,1.1K,7.8K
Kyle Griffin,@kylegriffin1,2021-07-07 21:00:00+00:00,"Kyle GriffinRepublican Adam Kinzinger: ""I think the vast majority, if not all of them—my colleagues, believe that this was a Trump-incited insurrection. But when you're in a tribe, if you say something truthful, that gets you kicked out of the tribe.""
newsweek.com
GOP Rep. Adam Kinzinger says ""vast majority of colleagues"" believe Trump incited Capitol riot
""It's confusing because I thought so many of the people I know, like Kevin McCarthy, had a red line that they just wouldn't cross, that there would be no payoff worth crossing that line,"" Kinzinger...
491
3.1K
12K",491,3.1K,12K
Joy-Ann (Pro-Democracy) Reid,@JoyAnnReid,2021-07-07 21:14:58+00:00,"Joy-Ann (Pro-Democracy) ReidWait ... Trump praised Hitler and General Kelly didn't say anything publicly about it and just let it go with supposed private ""outrage""!??? GTFOH... no actually none of that is surprising, y'all. Come on.
389
1.9K
13.2K",389,1.9K,13.2K
Bill Kristol,@BillKristol,2021-07-07 21:50:22+00:00,"Bill KristolMichael Bender reports Trump said to John Kelly, “Hitler did a lot of good things.” Trump’s spokesperson denies it. You know who could resolve this? John Kelly. There’s no national security or executive privilege reason for him not to tell us: Is Bender’s account accurate or not?
723
2.6K
14.8K",723,2.6K,14.8K
MeidasTouch.com,@MeidasTouch,2021-07-07 23:25:18+00:00,"MeidasTouch.com NEW VIDEO

Tax expert Donald Trump is about to go through some things. #IndictTrump
842
9.5K
16.1K",842,9.5K,16.1K
Ryann McEnany,@RyannMcEnany,2021-07-07 23:41:50+00:00,"Ryann McEnanyTrump was right about everything
1.3K
3.2K
23.9K",1.3K,3.2K,23.9K
Anita,@youngbiafra,2021-07-07 23:51:07+00:00,"AnitaDo you think President Trump has a chance of winning his lawsuit against the Big Tech giants Google, Twitter and Facebook?
994
428
3.2K",994,428,3.2K
Joe Walsh,@WalshFreedom,2021-07-08 00:38:20+00:00,"Joe WalshWhen I was young, our FBI & intelligence folks were the good guys, and the Soviet Union was the bad guy. 

Today, according to Donald Trump, Tucker Carlson, & the Republican Party, Russia is the good guy, and our people are the bad guys.
1K
2.5K
9.6K",1K,2.5K,9.6K
