name,handle,date,text,replys,retweets,likes
Travis Allen ,@TravisAllen02,2021-07-10 21:30:06+00:00,"Travis Allen If Trump really wants to bring down Facebook he should buy it and run it for a couple of years
1.1K
4.4K
28.9K",1.1K,4.4K,28.9K
Khashoggi’s Ghost,@UROCKlive1,2021-07-10 22:04:28+00:00,"Khashoggi’s GhostSo how does Trump get around now that he doesn't have Air Force One?

Anyone know who's going to fly him to Texas tomorrow? Can't imagine he'd take a commercial flight.
350
297
1.9K",350,297,1.9K
Kim Mangone,@KimMangone,2021-07-10 23:12:38+00:00,"Kim MangoneWho else never wants to hear about Donald Trump jr. in the news ever again?
941
1.3K
21.1K",941,1.3K,21.1K
Adam Kinzinger,@AdamKinzinger,2021-07-11 11:19:23+00:00,"Adam KinzingerMarch:  “Trump is amazing and saved lives thanks to the trump vaccine.”  July:  “the tru… errr Biden vaccine is killing everyone!”
Marjorie Taylor Greene
@mtgreenee
 · Jul 10
5,946 reported deaths after taking the #COVID19 vaccine.

The vaccine is NOT FDA approved.

33,631,656 Americans SURVIVED covid.

But Biden & the Dems are coming to your front door to force you to take the vax, schools say your healthy kids need it, and you still think your free?
455
2.1K
9.6K",455,2.1K,9.6K
Kyle Griffin,@kylegriffin1,2021-07-11 12:00:01+00:00,"Kyle GriffinThere is no legal or constitutional mechanism for Trump to be reinstated as president. None.
1.2K
4K
34.5K",1.2K,4K,34.5K
Brit Hume,@brithume,2021-07-11 13:16:14+00:00,"Brit HumeInteresting effort here to see the Trump supporters' side of  the story.
MartyrMade
@martyrmade
 · Jul 8
I think I've had discussions w/enough Boomer-tier Trump supporters who believe the 2020 election was fraudulent to extract a general theory about their perspective. It is also the perspective of most of the people at the Capitol on 1/6, and probably even Trump himself. 1/x
Show this thread
411
686
2.7K",411,686,2.7K
Aaron Rupar,@atrupar,2021-07-11 14:34:45+00:00,"Aaron Rupar""There was such love at that rally ... the love in the air, I've never seen anything like it"" -- Trump has completely rewritten the history of the deadly January 6 insurrection he instigated
502
952
2.5K",502,952,2.5K
Aaron Rupar,@atrupar,2021-07-11 14:36:24+00:00,"Aaron RuparTrump describes Ashli Babbitt, who was part of a mob that was trying to lynch the VP, as an ""innocent, wonderful, incredible woman""
925
1.1K
2.5K",925,1.1K,2.5K
Aaron Rupar,@atrupar,2021-07-11 14:38:11+00:00,"Aaron RuparTrump on who shot Ashli Babbitt: ""I've heard also that it was the head of security for a certain high official. A Democrat. It's gonna come out.""
0:53
1.6M views
2.7K
2.2K
3.4K",2.7K,2.2K,3.4K
Aaron Rupar,@atrupar,2021-07-11 14:48:41+00:00,"Aaron RuparTrump basically confirms he'll be running for POTUS in 2024 and says he thinks CNN and MSNBC will endorse him because their ratings are down
638
847
2.3K",638,847,2.3K
Tom Nichols,@RadioFreeTom,2021-07-11 14:55:18+00:00,"Tom NicholsThe reason you have to pay attention to Trump is that he's trying to incite more violence.
Aaron Rupar
@atrupar
 · Jul 11
Trump on who shot Ashli Babbitt: ""I've heard also that it was the head of security for a certain high official. A Democrat. It's gonna come out.""
Show this thread
953
3.1K
12.7K",953,3.1K,12.7K
Aaron Rupar,@atrupar,2021-07-11 14:56:57+00:00,"Aaron RuparBARTIROMO: They continue to call this an armed insurrection, and yet no guns were seized

TRUMP: Right

(Weapons seized included stun guns, pepper spray, baseball bats, flagpoles wielded as clubs, pipe bombs were planted ... )
604
1.4K
5K",604,1.4K,5K
Donald Trump Jr.,@DonaldJTrumpJr,2021-07-11 15:11:44+00:00,"Donald Trump Jr.Don Trump Jr. Trolls Leftists' Gun Ignorance, Like Biden and 'AR-14s'
breitbart.com
Don Trump Jr. Trolls Leftists' Gun Ignorance, Like Biden and 'AR-14s'
Donald Trump Jr. took time to troll leftists over their gun ignorance and subsequent desire to ban rifles that do not exist.
992
812
4.4K",992,812,4.4K
Matt Taibbi,@mtaibbi,2021-07-11 16:15:24+00:00,"Matt TaibbiImagine the furor if Donald Trump, Jr. held an auction where he sold paintings for between $75,000 and $500,000 apiece, and the buyers were allowed to remain anonymous.
The Hill
@thehill
 · Jul 10
White House defends plans for Hunter Biden art sale http://hill.cm/jQtNdqz
1.4K
3.2K
12.2K",1.4K,3.2K,12.2K
thebradfordfile,@thebradfordfile,2021-07-11 16:30:33+00:00,"thebradfordfileI will never understand why Trump didn't fire Director Wray after it became obvious the appointment was a disaster.
357
950
5.7K",357,950,5.7K
Outspoken,@Out5p0ken,2021-07-11 17:41:57+00:00,"OutspokenDear Fauci bashers,  Trump is vaccinated.
905
10K
58.2K",905,10K,58.2K
BrooklynDad_Defiant!,@mmpadellan,2021-07-11 17:51:54+00:00,"BrooklynDad_Defiant!Merrick Garland needs to buck up and prosecute trump for January 6th or step down and let someone else with a spine do the damn job.
1K
6.9K
35.3K",1K,6.9K,35.3K
Kyle Griffin,@kylegriffin1,2021-07-11 18:00:01+00:00,"Kyle GriffinDOJ court filing:

""Trump continues to make false claims about the election ... and minimize the violent attack on the Capitol. Television networks continue to carry and report on those claims, with some actually giving credence to the false reporting.""
334
3.9K
14.5K",334,3.9K,14.5K
Marc E. Elias,@marceelias,2021-07-11 18:49:57+00:00,"Marc E. EliasThere is an good argument that Trump has triggered candidacy and must now register and report with the FEC. Since he admits knowing the law, failure to do so whould be a knowing and willful violation.
Aaron Rupar
@atrupar
 · Jul 11
Trump basically confirms he'll be running for POTUS in 2024 and says he thinks CNN and MSNBC will endorse him because their ratings are down
Show this thread
327
2.4K
9K",327,2.4K,9K
Kyle Griffin,@kylegriffin1,2021-07-11 19:00:02+00:00,"Kyle GriffinTrump lied on Fox today about Jan. 6.
2.4K
3.9K
25.1K",2.4K,3.9K,25.1K
Kate,@ImSpeaking13,2021-07-11 19:18:09+00:00,"KateWhy the fuck does Trump still get a motorcade?
395
596
4.9K",395,596,4.9K
༺༻ᗰᗩƳᖇᗩ༺༻,@LepapillonBlu,2021-07-11 19:26:29+00:00,"༺༻ᗰᗩƳᖇᗩ༺༻Trump Is Liable for Ashli Babbit’s Death, do you agree??
405
505
2.9K",405,505,2.9K
"kaitlin, rino attention seeking whore",@thefactualprep,2021-07-11 19:27:49+00:00,"kaitlin, rino attention seeking whoreIf Trump runs in 2024, the GOP loses. 

Cut the bullshit and start realizing that.
714
429
4.2K",714,429,4.2K
Greg Abbott,@GregAbbott_TX,2021-07-11 20:30:00+00:00,"Greg Abbott""Complete and total endorsement."" - President Trump

Great to have the President behind me 100%.

The Lone Star State is grateful for our shared commitment to secure the border.
0:19
62.3K views
1K
748
4.2K",1K,748,4.2K
The Columbia Bugle,@ColumbiaBugle,2021-07-11 20:35:45+00:00,"The Columbia BugleYoooooo!!! Is that Mel Gibson saluting President Trump? #UFC264 https://twitter.com/petsh0pboy/status/1414113562981715970/video/1…
836
3.2K
13K",836,3.2K,13K
dylan,@dylanmsmitty,2021-07-11 20:45:36+00:00,"dylanWhy the hell isn’t Trump behind bars? Why the hell is he on Fox News? He tried overthrowing our government. He is STILL trying to overthrow our government. Donald Trump is a traitor and a terrorist. Who’s with me?
431
2.9K
14.6K",431,2.9K,14.6K
NoelCaslerComedy,@caslernoel,2021-07-11 21:06:00+00:00,"NoelCaslerComedyTrump gets to spend the next 3 years running for POTUS. Just think of the grifting and damage he can do in that time. DOJ needs to get serious about holding him accountable. USA is at stake.
366
4.9K
24.1K",366,4.9K,24.1K
Aaron Rupar,@atrupar,2021-07-11 21:21:33+00:00,"Aaron RuparCPAC ATTENDEE: Trump won!

TRUMP: It's true. We all won.

(Trump lost)
456
716
3.9K",456,716,3.9K
Mehdi Hasan,@mehdirhasan,2021-07-12 01:08:38+00:00,"Mehdi Hasan""You just had a Saudi prince welcomed to DC who the CIA says was the guy who told Khashoggi to go to the consulate where he was murdered... [is] that the same Trump foreign policy on Saudi?""

My final Q to 
@PressSec
 on 
@MSNBC
 today. Listen to her response:
From 
The Mehdi Hasan Show
345
641
2.3K",345,641,2.3K
MeidasTouch.com,@MeidasTouch,2021-07-12 01:19:58+00:00,"MeidasTouch.com NEW VIDEO

Donald Trump is a domestic terrorist who must be arrested for inciting the January 6th insurrection. #ArrestTrumpNow
1.4K
13.3K
22.2K",1.4K,13.3K,22.2K
Bernard B. Kerik,@BernardKerik,2021-07-12 01:32:29+00:00,"Bernard B. KerikWTH? GOP Chair Ronna McDaniel Blocks Trump Election Lawyer Jenna Ellis on Twitter After News Breaks on RNC Attorney's Election Lies
thegatewaypundit.com
WTH? GOP Chair Ronna McDaniel Blocks Trump Election Lawyer Jenna Ellis on Twitter After News Breaks...
In March 2021 President Trump sent a cease-and-desist letter to the RNC demanding that they quit using his name to fundraise. The letters were also sent to the National Republican Congressional...
414
2K
3.7K",414,2K,3.7K
Chuck Callesto,@ChuckCallesto,2021-07-12 01:35:56+00:00,"Chuck CallestoDo you believe Trump will be the 47th President of the United States?
515
420
2.7K",515,420,2.7K
Scott Dworkin,@funder,2021-07-12 02:22:47+00:00,"Scott DworkinWho else agrees trump needs to be arrested? For all of it. Everything.

#ArrestTrumpNow via 
@MeidasTouch
From 
MeidasTouch.com
1.1K
5.5K
17.9K",1.1K,5.5K,17.9K
Laura Ingraham,@IngrahamAngle,2021-07-12 02:27:20+00:00,"Laura IngrahamBig Tech’s censoring Trump bc they & their Democrat supplicants are afraid of losing power, plain & simple.: “YouTube deletes Trump video, freezes CPAC account”
washingtontimes.com
YouTube deletes Trump video, freezes CPAC account
YouTube deleted a video of former President Donald Trump from the American Conservative Union's account and prevented the group from live-streaming the former president's Sunday CPAC speech.
757
1.6K
4.5K",757,1.6K,4.5K
Adam Kinzinger,@AdamKinzinger,2021-07-12 02:31:09+00:00,"Adam KinzingerWould be good the hear 
@GOPLeader
 McCarthy confirm that the former guy said this very thing as it happened.  My fellow Republicans, SPEAK OUT NOW.  History remembers

Trump on Jan. 6 insurrection: 'These were great people' https://politico.com/news/2021/07/11/trump-jan-6-insurrection-these-were-great-people-499165… via 
@politico
politico.com
Trump on Jan. 6 insurrection: 'These were great people'
The former president described the participants as loving and patriotic, and said Democrats could be blamed for any violence.
433
1.7K
7.3K",433,1.7K,7.3K
Tristan Snell,@TristanSnell,2021-07-12 02:41:01+00:00,"Tristan SnellWhen Trump is indicted — and I do mean when, not if — will he turn himself in the way Weisselberg did? Or will he refuse? 

Could we see a “white Bronco” moment? Maybe an orange Bronco if you will? 

Only time will tell when they #ArrestTrumpNow
414
829
3.4K",414,829,3.4K
Outspoken,@Out5p0ken,2021-07-12 02:57:35+00:00,"OutspokenTrump will not go quietly when he’s indicted.
393
337
2.5K",393,337,2.5K
LaDonna,@HearHerRoar2020,2021-07-12 04:15:48+00:00,"LaDonnaI’m not being facetious, please help me understand POC at Trump rallies alongside Proud Boys. I just don’t get it.
708
453
3.5K",708,453,3.5K
George Takei,@GeorgeTakei,2021-07-12 05:03:43+00:00,"George TakeiIt concerns me greatly that it seems the GOP will either nominate Trump or DeSantis in 2024. Either way, a monster.

Don’t let your guard down, America. The threat is growing, not subsiding.
472
4.9K
30K",472,4.9K,30K
MeidasTouch.com,@MeidasTouch,2021-07-12 11:00:01+00:00,"MeidasTouch.comDonald Trump is a domestic terrorist who must be arrested for inciting the January 6th insurrection. Retweet and let’s keep #ArrestTrumpNow trending all day!
595
6.7K
9.7K",595,6.7K,9.7K
The Washington Post,@washingtonpost,2021-07-12 11:49:34+00:00,"The Washington PostA new and rapidly growing Christian movement is openly political, wants a nation under God’s authority, and is central to Donald Trump’s GOP
washingtonpost.com
An American Kingdom
A new and rapidly growing Christian movement is openly political, wants a nation under God’s authority, and is central to Donald Trump’s GOP
704
679
650",704,679,650
Aaron Rupar,@atrupar,2021-07-12 13:30:17+00:00,"Aaron RuparThe CPAC Dallas Republican presidential straw poll had Trump at 70 percent, DeSantis at 21 percent, and the rest at 1 percent
1.1K
924
2.7K",1.1K,924,2.7K
Emerald Robinson,@EmeraldRobinson,2021-07-12 14:22:13+00:00,"Emerald RobinsonThere's a reason Democrats are going after Rudy Giuliani, Matt Gaetz, Sidney Powell & Lin Wood at the same time. 

While the NSA is spying on Tucker Carlson. 

While the DOJ/FBI detains Trump supporters in DC jail for months without charging them.
821
4K
9.8K",821,4K,9.8K
Claire McCaskill,@clairecmc,2021-07-12 14:41:58+00:00,"Claire McCaskillWeird reality in my state. A large field of Republican candidates for Senate in ‘22 are praying for a Trump endorsement. Can you even imagine?
1.3K
1.5K
13.7K",1.3K,1.5K,13.7K
Glenn Kirschner,@glennkirschner2,2021-07-12 14:54:31+00:00,"Glenn KirschnerSome say we shouldn’t prosecute Trump for his crimes against the United States and We The People because it will inspire his supporters to violence. You can’t decline to fight for what’s right for fear of how it will inspire those who are in the wrong. #JusticeMatters
1.5K
7.8K
23.2K",1.5K,7.8K,23.2K
Kyle Griffin,@kylegriffin1,2021-07-12 15:00:43+00:00,"Kyle GriffinStates with the greatest growth in new COVID cases over the past 14 days: TN, AR, AL, KS and LA.

States with the greatest growth in hospitalizations: AK, NV, NE, AR and MS.

Trump won all of those states in 2020 with one exception – Nevada. 
@NBCNews
343
2K
5.7K",343,2K,5.7K
Juanita Broaddrick,@atensnut,2021-07-12 15:10:56+00:00,"Juanita BroaddrickEverything was better under Trump. 
EVERYTHING!!
1.2K
2.6K
15.3K",1.2K,2.6K,15.3K
Joe Walsh,@WalshFreedom,2021-07-12 15:47:39+00:00,"Joe WalshIt’s too late. You know that, right? It’s way too late for the Republican Party to ever escape Trump & Trumpism.
616
1.5K
12.5K",616,1.5K,12.5K
Catturd ™,@catturd2,2021-07-12 16:01:05+00:00,"Catturd ™If you don’t know that the entrenched Republican establishment wanted Trump out as badly as Democrats ... you don’t understand just how rotten, corrupt, and deep the swamp really is.
424
4.8K
18.9K",424,4.8K,18.9K
Steve Scalise,@SteveScalise,2021-07-12 16:03:54+00:00,"Steve ScaliseWe went from energy independence to the highest gas prices in 7 years in just a few short months under Biden.

Make no mistake: Democrats and the media would be blaming Trump if this was happening during his term.

But Biden? He gets a pass.
1K
809
2.2K",1K,809,2.2K
S.V. Dáte,@svdate,2021-07-12 16:36:50+00:00,"S.V. DáteTrump was banned from Twitter for inciting violence, but his paid employee is allowed to do this?
510
1.2K
4K",510,1.2K,4K
Andrew Feinberg,@AndrewFeinberg,2021-07-12 17:36:14+00:00,"Andrew FeinbergNEW: ‘Kraken’ lawyer weeps in court hearing as she faces sanctions over backing Trump’s ‘Big Lie’ on election fraud
independent.co.uk
‘Kraken’ lawyer weeps in court hearing as she faces sanctions over backing Trump’s ‘Big Lie’ on...
Julia Haller among attorneys accused of not doing due diligence on bogus claims promoted by former president
635
1.7K
7K",635,1.7K,7K
Tom Winter,@Tom_Winter,2021-07-12 17:46:07+00:00,"Tom WinterNEW: The officer who shot Ashli Babbitt at the Capitol on 1/6 was not a part of a specific security detail to a member of Congress, a senior law enforcement official tells NBC News. 

This refutes the assertions made by former President Trump in a televised interview yesterday.
909
3.9K
14.6K",909,3.9K,14.6K
Pervaiz Shallwani,@Pervaizistan,2021-07-12 18:53:03+00:00,"Pervaiz ShallwaniNEW: The U.S. Capitol Police officer who shot Ashli Babbitt on January 6 was not part of a security detail for a specific member of Congress, a law enforcement source tells 
@CNN
, knocking down a claim made by President Donald Trump over the weekend. Per 
@ZcohenCNN
452
1.5K
6K",452,1.5K,6K
Liz Harrington,@realLizUSA,2021-07-12 19:55:05+00:00,"Liz HarringtonNEW!

""The drug cartels are making hundreds of millions of dollars under Joe Biden and the Biden Administration. They cannot believe their luck—they struck gold. Under Trump, they were just about in the process of almost giving up, it was a hard way to make a dollar!""
606
621
1.3K",606,621,1.3K
Jeras Ikehorn,@JerasIkehorn,2021-07-12 20:06:48+00:00,"Jeras IkehornBREAKING NEWS: 
YouTube deletes Trump video, and freezes CPAC account!
504
3.5K
20.1K",504,3.5K,20.1K
Ron Filipkowski,@RonFilipkowski,2021-07-12 22:32:44+00:00,"Ron FilipkowskiJenna Ellis says she is leaving the Republican Party as a MAGA rebellion led by Rudy, Ellis, Seb Gorka and many others is underweigh demanding that Ronna McDaniel resign, after a story broke that none of the $220 million raised for post election lawsuits was used to defend Trump.
1.1K
2K
4.8K",1.1K,2K,4.8K
Duty To Warn,@duty2warn,2021-07-12 22:55:47+00:00,"Duty To WarnVanity Fair reports that on Sunday, while Trump did his CPAC thing, Jared Kushner’s parents invited 20 friends to meet Nikki Haley at the Kushners’ beach house on the Jersey Shore. At the event, Charles Kushner predicted that Haley would be “the first woman president.”
466
1.1K
1.7K",466,1.1K,1.7K
Jenna Ellis,@JennaEllisEsq,2021-07-12 22:59:51+00:00,"Jenna EllisThe truth matters. Here is my opening statement on why the Republican Party has failed Donald Trump and true conservatives under swamp leadership, the Riemer emails, and 
@BernardKerik
 joins me to confirm the truth.

#JustTheTruth on 
@RealAmVoice
https://americasvoice.news/video/Q5cBFKXoORCaREM…
809
797
2K",809,797,2K
Liz Harrington,@realLizUSA,2021-07-12 23:30:43+00:00,"Liz HarringtonHUGE!

President Trump releases letter showing how Bill Barr pressured the US Attorney in PA NOT to investigate Voter Fraud, and instead hand it over to the DEMOCRAT anti-Trump Attorney General Josh Shaprio 

https://cdn.donaldjtrump.com/djtweb/general/Letter_to_President_Trump.pdf…
1K
3.6K
6.7K",1K,3.6K,6.7K
NBC News,@NBCNews,2021-07-12 23:32:01+00:00,"NBC NewsFmr. Pres. Trump suggested the U.S. Capitol Police officer who shot Ashli Babbitt during the Jan. 6 riot at the Capitol was the ""head of security"" for a ""high-ranking"" Democratic member of Congress.

That is false, senior law enforcement official says.
nbcnews.com
Trump wrong about officer who shot Capitol rioter, law enforcement official says
The former president suggested without evidence that the Capitol Police officer who shot Babbitt was ""head of security"" for a ""high-ranking"" Democratic lawmaker.
723
524
1.6K",723,524,1.6K
Max Burns,@themaxburns,2021-07-13 00:01:56+00:00,"Max BurnsMy latest for 
@NBCNews
: Donald Trump and the 
@GOP
 turned Ashli Babbitt from a domestic terrorist into a martyr. Why the Republicans learned to love a tactic made famous by the Nazi propaganda machine:
nbcnews.com
Opinion | Making Ashli Babbitt a martyr is a new and disturbing twist for the GOP
The former president uses a new tactic to further propaganda and distortion that courts — rather than denounces — the most dangerous elements of American society.
332
1.2K
2.7K",332,1.2K,2.7K
Alex Cole,@acnewsitics,2021-07-13 00:05:52+00:00,"Alex ColeI heard Trump will he reinstated on Aug 32nd.
438
428
5.2K",438,428,5.2K
Diamond and Silk®,@DiamondandSilk,2021-07-13 00:13:35+00:00,"Diamond and Silk®Dear RNC,
Stop mailing, emailing & calling us for donations.

How do you expect for us to support the RNC, when the RNC did NOT support President Trump. 

You raised Millions of dollars off of President Trump's name. 

WE DON'T PLAN ON GIVING YOU ONE DAMN DIME OR ONE RED CENT.
729
3.9K
15.4K",729,3.9K,15.4K
Mehdi Hasan,@mehdirhasan,2021-07-13 00:21:45+00:00,"Mehdi HasanIf you only watch 1 thing tonight, please watch this rather chilling video that my producer, the great & powerful Ivy Green made, putting Trump's lying pro-terror words on Fox over images of the actual violence from January 6th.
#mustwatch 
@MehdiHasanShow
From 
The Mehdi Hasan Show
957
17K
25.2K",957,17K,25.2K
Palmer Report,@PalmerReport,2021-07-13 04:25:57+00:00,"Palmer ReportHow will you celebrate Donald Trump’s arrest when it finally happens?
1.2K
735
4.7K",1.2K,735,4.7K
Axios,@axios,2021-07-13 12:10:00+00:00,"AxiosTrump unloads on Brett Kavanaugh for his Supreme Court votes: ""Where would he be without me? I saved his life. He wouldn't even be in a law firm. Who would have had him? Nobody. Totally disgraced. Only I saved him.""
axios.com
""He wouldn't even be in a law firm"": Trump unloads on Brett Kavanaugh in new Wolff book
""There were so many others I could have appointed, and everyone wanted me to.""
3.8K
10.7K
15.9K",3.8K,10.7K,15.9K
Lauren Boebert,@laurenboebert,2021-07-13 13:10:46+00:00,"Lauren BoebertI unequivocally condemn Communism.

I wish the administration in charge could say the same and stand by the Cuban people.

President Trump helped weaken this regime & Biden is just letting all that hard work be for nothing.

#StandWithCuba
943
1.1K
6.2K",943,1.1K,6.2K
New York Post,@nypost,2021-07-13 15:09:41+00:00,"New York PostMel Gibson caught on camera saluting Trump at UFC match https://trib.al/BYCaIrc
1.1K
958
7.2K",1.1K,958,7.2K
Chip FranklinInsideTheBeltway.com,@chipfranklin,2021-07-13 16:02:44+00:00,"Chip FranklinInsideTheBeltway.comCan you imagine how many people would be dead now if Trump was still in office? 
330
949
3.9K",330,949,3.9K
Kyle Griffin,@kylegriffin1,2021-07-13 16:40:15+00:00,"Kyle GriffinLeader Schumer: ""What is happening to this Republican party? What is happening? When Donald Trump, the biggest liar we’ve ever had as president, sets the tone and they follow in those lies, repeat those lies—sometimes even embellish on those lies—what is happening to that party?""
910
3K
13.3K",910,3K,13.3K
Anis Jerbi,@ArtistAJ17,2021-07-13 17:24:36+00:00,"Anis JerbiDo you think that Jeffrey Epstein was murdered because he had dirt on Trump?
1.5K
472
3K",1.5K,472,3K
MeidasTouch.com,@MeidasTouch,2021-07-13 17:38:10+00:00,"MeidasTouch.comTrump hid in a bunker as America's economy collapsed and hundreds of thousands died due to his malicious handling of COVID. This is why we made this video last June and why we call him #BunkerBoyTrump.
From 
MeidasTouch.com
367
6.2K
10.4K",367,6.2K,10.4K
Scott MacFarlane,@MacFarlaneNews,2021-07-13 17:42:10+00:00,"Scott MacFarlaneNEW:  Texas family of 5 charged in US Capitol breach

Facebook posts galore referenced in court filings against the Munns, including Dad's saying Trump asked Americans to be in DC on Jan 6, per feds

One Munn also posted, ""F*ing great! Holy s** we were inside the f*ing capital”
388
2.2K
5.4K",388,2.2K,5.4K
Kate,@ImSpeaking13,2021-07-13 17:56:31+00:00,"KateSo through his nonstop bitching, Trump basically just admitted he did Brett Kavanaugh a solid by putting him on SCOTUS in exchange for rulings in his favor.
292
2.2K
7.5K",292,2.2K,7.5K
Nick Adams,@NickAdamsinUSA,2021-07-13 18:05:03+00:00,"Nick AdamsBrett Kavanaugh is stabbing President Trump in the back!
396
893
2.8K",396,893,2.8K
Tom Winter,@Tom_Winter,2021-07-13 18:06:10+00:00,"Tom WinterNEW: A federal jury has found Stephen Calk, former CEO of The Federal Savings Bank, guilty of financial institution bribery and conspiracy for approving $16 million in high-risk loans to Paul Manafort in exchange for Manafort's help in getting Calk a job in the Trump admin.
329
5.1K
14.3K",329,5.1K,14.3K
Chuck Schumer,@SenSchumer,2021-07-13 18:16:52+00:00,"Chuck SchumerGOP legislatures are conducting an attack on democracy fueled by Trump’s Big Lie.

The fight in the Senate to protect voting rights will continue.

Today—I’m meeting with Texas Democrats.

Next week—the Senate Rules Committee holds a field hearing in Georgia on voting rights.
1K
1.2K
5K",1K,1.2K,5K
Laurence Tribe,@tribelaw,2021-07-13 18:26:08+00:00,"Laurence Tribe.
@MichaelWolffNYC
’s new book, LANDSLIDE, quotes Donald J. Trump on Justice Kavanaugh’s “betrayal”
in not backing his Big Lie:

“I saved his life. He wouldn’t even be in a law firm. Who would’ve had him? Nobody. Totally disgraced. Only I saved him.” 

Take that, Brett! 
310
1.6K
4.9K",310,1.6K,4.9K
Curtis Houck,@CurtisHouck,2021-07-13 19:16:46+00:00,"Curtis HouckBiden says Trump supporters are worse than slave-owning Confederates: ""We are facing the most significant test of our democracy since the Civil War. That's not hyperbole...The Confederates back then never breached the Capitol as insurrectionists did""

You CAN oppose HR1 & 1/6...
806
863
614",806,863,614
Ari Berman,@AriBerman,2021-07-13 19:20:56+00:00,"Ari BermanIf Mitch McConnell can steal 2 Supreme Court seats for Trump with 51 votes to take away voting rights, Senate Democrats should be able to pass legislation with 51 votes to protect voting rights
482
9K
35.9K",482,9K,35.9K
Duty To Warn,@duty2warn,2021-07-13 19:49:57+00:00,"Duty To WarnLawrence O’Donnell: ""What did you learn?”
Michael Wolff: “That he’s even crazier than I thought he was. Donald Trump is not like you and me. Something is off. Something is broken.""
384
3.6K
11.7K",384,3.6K,11.7K
Marjorie Taylor Greene,@mtgreenee,2021-07-13 20:01:46+00:00,"Marjorie Taylor GreenePresident Trump’s Tax Cuts, Tariffs on China, & strong border policies were GREAT for American businesses and the American people.

This is how we put America First!

Biden has opened the border to the world, and will end the tariffs and raise your taxes.

Biden is America Last!
1.1K
1.5K
6K",1.1K,1.5K,6K
PoliticsVideoChannel,@politvidchannel,2021-07-13 23:17:44+00:00,"PoliticsVideoChannelBREAKING: Rep. Bennie Thompson, chair of the Jan. 6 select committee is thinking about calling Trump to testify
521
1K
5.1K",521,1K,5.1K
Acyn,@Acyn,2021-07-13 23:18:47+00:00,"Acyn“You have made a lot of money personally and you have enriched a lot of corporations with advertising by getting on here and spewing lies and conspiracy theories.. so what I’m asking you to do is to tell your voters that Donald Trump lost the election”
706
3.7K
15.9K",706,3.7K,15.9K
Terrence K. Williams,@w_terrence,2021-07-14 00:18:04+00:00,"Terrence K. WilliamsHell yeah I still wear my MAGA HAT! It’s not about Trump! Yes I do support him but it’s about Making America Great Again. It’s a movement 

Raise your hand  if you agree
819
2.2K
16.4K",819,2.2K,16.4K
David Fahrenthold,@Fahrenthold,2021-07-14 00:25:16+00:00,"David FahrentholdNEW: Allen Weisselberg began resigning his positions at Trump Org subsidiaries days *before* he was indicted, new records show.

He’s resigned from at least 54 companies so far, leaving them in the hands of Trump’s adult sons.
washingtonpost.com
Trump Organization CFO has resigned from the trust that controls the company, documents show
Allen Weisselberg’s resignation is the clearest sign that he is ceding formal power to Trump’s two adults sons, in the wake of his indictment on tax charges
319
1.4K
3K",319,1.4K,3K
Covie,@covie_93,2021-07-14 00:25:57+00:00,"CovieLol, I wonder how kavanaugh feels about trump calling him a total disgrace!
616
689
3.8K",616,689,3.8K
James Talarico,@jamestalarico,2021-07-14 00:44:53+00:00,"James TalaricoI just went on Fox News and called out Donald Trump’s big lie.

I’ll always tell the truth and protect your right to vote regardless of what party you belong to. #txlege
3.2K
6.5K
38.5K",3.2K,6.5K,38.5K
Madison,@Madisontx76,2021-07-14 02:04:55+00:00,"MadisonIf Trump came out in favor of oxygen Democrats would start holding their breath.
837
2.2K
9.4K",837,2.2K,9.4K
Liz “Bama” #GoodTrouble,@bamableu,2021-07-14 02:18:58+00:00,"Liz “Bama” #GoodTroubleThere are rumors Trump will be reinstated August 13, 2021.  

August 13, 2021 happens to be BOTH Friday the 13th 

AND

….wait for it….

NATIONAL KOOL-AID DAY!!

I shit you not. 
575
2K
6.1K",575,2K,6.1K
Glenn Kirschner,@glennkirschner2,2021-07-14 03:32:36+00:00,"Glenn KirschnerDonald Trump Breathes New Life Into Need for an Investigation into Justice Brett Kavanaugh. Because #JusticeMatters  https://youtu.be/NDsuODX7kZc via 
@YouTube
youtube.com
Donald Trump Breathes New Life Into Need for an Investigation into...
Donald Trump sat for interviews with author Michale Wolff for a new book titled Landslide. Trump reveals some things about Supreme Court Justice Brett Kavan...
430
4.4K
12.5K",430,4.4K,12.5K
Brigitte Gabriel,@ACTBrigitte,2021-07-14 04:20:32+00:00,"Brigitte GabrielWould you vote for President Trump again in 2024?
1.4K
1.4K
10.8K",1.4K,1.4K,10.8K
New York Post,@nypost,2021-07-14 09:01:04+00:00,"New York PostMel Gibson caught on camera saluting Trump at UFC match https://trib.al/QoJmVOq
1.3K
943
10.3K",1.3K,943,10.3K
The Washington Post,@washingtonpost,2021-07-14 11:27:47+00:00,"The Washington PostAmid the defeat of Donald Trump and the death of Rush Limbaugh, Fox News host Tucker Carlson has emerged as a dominant force shaping a Republican Party energized by racial resentment.

This is how he became the preeminent voice of angry White America.
washingtonpost.com
How Tucker Carlson became the voice of White grievance
With the defeat of former president Donald Trump and the death of Rush Limbaugh, the Fox News host has emerged as a dominant force shaping a Republican Party energized by racial resentment.
1K
521
831",1K,521,831
